2019 Winter Quarter
Potential Schedule #1
34270, CompSci 161 DES&ANALYS OF ALGOR-Lec, HIRSCHBERG, D., MWF 11:00 AM - 11:50 AM 
34272, CompSci 161 DES&ANALYS OF ALGOR-Dis, STAFFHIRSCHBERG, D., MW 7:00 PM - 7:50 PM 

Potential Schedule #19
36220, I&C Sci 51 INTRO COMPUTER ORG-Lec, BOZORGZADEH, E., MWF 9:00 AM - 9:50 AM 
36222, I&C Sci 51 INTRO COMPUTER ORG-Dis, STAFFBOZORGZADEH, E., W 6:00 PM - 6:50 PM 
36228, I&C Sci 51 INTRO COMPUTER ORG-Lab, STAFFBOZORGZADEH, E., MW 12:30 PM - 1:50 PM 
36340, I&C Sci 139W CRITICAL WRITING-Lec, RUBERG, B., TBA TBA - TBA 
36343, I&C Sci 139W CRITICAL WRITING-Dis, STAFFRUBERG, B., W 10:00 AM - 10:50 AM 
37350, Stats 67 INTRO PROB&STAT/CS-Lec, GULESSERIAN, S., MW 2:00 PM - 3:20 PM 
37386, Stats 67 INTRO PROB&STAT/CS-Dis, STAFFARMSTRONG, D., F 2:00 PM - 2:50 PM 
34270, CompSci 161 DES&ANALYS OF ALGOR-Lec, HIRSCHBERG, D., MWF 11:00 AM - 11:50 AM 
34272, CompSci 161 DES&ANALYS OF ALGOR-Dis, STAFFHIRSCHBERG, D., MW 7:00 PM - 7:50 PM 

Potential Schedule #20
36220, I&C Sci 51 INTRO COMPUTER ORG-Lec, BOZORGZADEH, E., MWF 9:00 AM - 9:50 AM 
36221, I&C Sci 51 INTRO COMPUTER ORG-Dis, STAFFBOZORGZADEH, E., W 5:00 PM - 5:50 PM 
36229, I&C Sci 51 INTRO COMPUTER ORG-Lab, STAFFBOZORGZADEH, E., TuTh 2:00 PM - 3:20 PM 
36340, I&C Sci 139W CRITICAL WRITING-Lec, RUBERG, B., TBA TBA - TBA 
36343, I&C Sci 139W CRITICAL WRITING-Dis, STAFFRUBERG, B., W 10:00 AM - 10:50 AM 
37380, Stats 67 INTRO PROB&STAT/CS-Lec, ARMSTRONG, D., TuTh 9:30 AM - 10:50 AM 
37361, Stats 67 INTRO PROB&STAT/CS-Dis, STAFFBERMAN, B., F 12:00 PM - 12:50 PM 
34270, CompSci 161 DES&ANALYS OF ALGOR-Lec, HIRSCHBERG, D., MWF 11:00 AM - 11:50 AM 
34272, CompSci 161 DES&ANALYS OF ALGOR-Dis, STAFFHIRSCHBERG, D., MW 7:00 PM - 7:50 PM 

